base,oeis_fpp,oeis_epp,oeis_ejpp,oeis_sfpp
2,001567,006970,047713,001262
3,005935,262051,048950,020229
4,020136,,,020230
5,005936,262052,,020231
6,005937,262053,,020232
7,005938,262054,,020233
8,020137,262055,,020234
9,020138,263239,,020235
10,005939,,,020236
11,020139,,,020237
12,020140,,,020238
13,020141,,,020239
14,020142,,,020240
15,020143,,,020241
16,020144,,,020242
17,020145,,,020243
18,020146,,,020244
19,020147,,,020245
20,020148,,,020246
21,020149,,,020247
22,020150,,,020248
23,020151,,,020249
24,020152,,,020250
25,020153,,,020251
26,020154,,,020252
27,020155,,,020253
28,020156,,,020254
29,020157,,,020255
30,020158,,,020256
31,020159,,,020257
32,020160,,,020258
33,020161,,,020259
34,020162,,,020260
35,020163,,,020261
36,020164,,,020262
37,020165,,,020263
38,020166,,,020264
39,020167,,,020265
40,020168,,,020266
41,020169,,,020267
42,020170,,,020268
43,020171,,,020269
44,020172,,,020270
45,020173,,,020271
46,020174,,,020272
47,020175,,,020273
48,020176,,,020274
49,020177,,,020275
50,020178,,,020276
51,020179,,,020277
52,020180,,,020278
53,020181,,,020279
54,020182,,,020280
55,020183,,,020281
56,020184,,,020282
57,020185,,,020283
58,020186,,,020284
59,020187,,,020285
60,020188,,,020286
61,020189,,,020287
62,020190,,,020288
63,020191,,,020289
64,020192,,,020290
65,020193,,,020291
66,020194,,,020292
67,020195,,,020293
68,020196,,,020294
69,020197,,,020295
70,020198,,,020296
71,020199,,,020297
72,020200,,,020298
73,020201,,,020299
74,020202,,,020300
75,020203,,,020301
76,020204,,,020302
77,020205,,,020303
78,020206,,,020304
79,020207,,,020305
80,020208,,,020306
81,020209,,,020307
82,020210,,,020308
83,020211,,,020309
84,020212,,,020310
85,020213,,,020311
86,020214,,,020312
87,020215,,,020313
88,020216,,,020314
89,020217,,,020315
90,020218,,,020316
91,020219,,,020317
92,020220,,,020318
93,020221,,,020319
94,020222,,,020320
95,020223,,,020321
96,020224,,,020322
97,020225,,,020323
98,020226,,,020324
99,020227,,,020325
100,020228,,,020326
